fid,left,top,right,bottom,id
1248,4642.33349609375,-3588099.75,5142.33349609375,-3588599.75,1248
1249,4642.33349609375,-3588599.75,5142.33349609375,-3589099.75,1249
1250,4642.33349609375,-3589099.75,5142.33349609375,-3589599.75,1250
1280,5142.33349609375,-3555099.75,5642.33349609375,-3555599.75,1280
1283,5142.33349609375,-3556599.75,5642.33349609375,-3557099.75,1283
1284,5142.33349609375,-3557099.75,5642.33349609375,-3557599.75,1284
1285,5142.33349609375,-3557599.75,5642.33349609375,-3558099.75,1285
1291,5142.33349609375,-3560599.75,5642.33349609375,-3561099.75,1291
1293,5142.33349609375,-3561599.75,5642.33349609375,-3562099.75,1293
1295,5142.33349609375,-3562599.75,5642.33349609375,-3563099.75,1295
1296,5142.33349609375,-3563099.75,5642.33349609375,-3563599.75,1296
1297,5142.33349609375,-3563599.75,5642.33349609375,-3564099.75,1297
1299,5142.33349609375,-3564599.75,5642.33349609375,-3565099.75,1299
1300,5142.33349609375,-3565099.75,5642.33349609375,-3565599.75,1300
1301,5142.33349609375,-3565599.75,5642.33349609375,-3566099.75,1301
1304,5142.33349609375,-3567099.75,5642.33349609375,-3567599.75,1304
1305,5142.33349609375,-3567599.75,5642.33349609375,-3568099.75,1305
1306,5142.33349609375,-3568099.75,5642.33349609375,-3568599.75,1306
1308,5142.33349609375,-3569099.75,5642.33349609375,-3569599.75,1308
1309,5142.33349609375,-3569599.75,5642.33349609375,-3570099.75,1309
1310,5142.33349609375,-3570099.75,5642.33349609375,-3570599.75,1310
1315,5142.33349609375,-3572599.75,5642.33349609375,-3573099.75,1315
1318,5142.33349609375,-3574099.75,5642.33349609375,-3574599.75,1318
1319,5142.33349609375,-3574599.75,5642.33349609375,-3575099.75,1319
1321,5142.33349609375,-3575599.75,5642.33349609375,-3576099.75,1321
1324,5142.33349609375,-3577099.75,5642.33349609375,-3577599.75,1324
1326,5142.33349609375,-3578099.75,5642.33349609375,-3578599.75,1326
1327,5142.33349609375,-3578599.75,5642.33349609375,-3579099.75,1327
1328,5142.33349609375,-3579099.75,5642.33349609375,-3579599.75,1328
1332,5142.33349609375,-3581099.75,5642.33349609375,-3581599.75,1332
1335,5142.33349609375,-3582599.75,5642.33349609375,-3583099.75,1335
1336,5142.33349609375,-3583099.75,5642.33349609375,-3583599.75,1336
1337,5142.33349609375,-3583599.75,5642.33349609375,-3584099.75,1337
1341,5142.33349609375,-3585599.75,5642.33349609375,-3586099.75,1341
1348,5142.33349609375,-3589099.75,5642.33349609375,-3589599.75,1348
1349,5142.33349609375,-3589599.75,5642.33349609375,-3590099.75,1349
1382,5642.33349609375,-3557099.75,6142.33349609375,-3557599.75,1382
1383,5642.33349609375,-3557599.75,6142.33349609375,-3558099.75,1383
1384,5642.33349609375,-3558099.75,6142.33349609375,-3558599.75,1384
1386,5642.33349609375,-3559099.75,6142.33349609375,-3559599.75,1386
1393,5642.33349609375,-3562599.75,6142.33349609375,-3563099.75,1393
1397,5642.33349609375,-3564599.75,6142.33349609375,-3565099.75,1397
1398,5642.33349609375,-3565099.75,6142.33349609375,-3565599.75,1398
1400,5642.33349609375,-3566099.75,6142.33349609375,-3566599.75,1400
1401,5642.33349609375,-3566599.75,6142.33349609375,-3567099.75,1401
1407,5642.33349609375,-3569599.75,6142.33349609375,-3570099.75,1407
1408,5642.33349609375,-3570099.75,6142.33349609375,-3570599.75,1408
1411,5642.33349609375,-3571599.75,6142.33349609375,-3572099.75,1411
1412,5642.33349609375,-3572099.75,6142.33349609375,-3572599.75,1412
1418,5642.33349609375,-3575099.75,6142.33349609375,-3575599.75,1418
1419,5642.33349609375,-3575599.75,6142.33349609375,-3576099.75,1419
1423,5642.33349609375,-3577599.75,6142.33349609375,-3578099.75,1423
1429,5642.33349609375,-3580599.75,6142.33349609375,-3581099.75,1429
1430,5642.33349609375,-3581099.75,6142.33349609375,-3581599.75,1430
1431,5642.33349609375,-3581599.75,6142.33349609375,-3582099.75,1431
1436,5642.33349609375,-3584099.75,6142.33349609375,-3584599.75,1436
1437,5642.33349609375,-3584599.75,6142.33349609375,-3585099.75,1437
1441,5642.33349609375,-3586599.75,6142.33349609375,-3587099.75,1441
1442,5642.33349609375,-3587099.75,6142.33349609375,-3587599.75,1442
1443,5642.33349609375,-3587599.75,6142.33349609375,-3588099.75,1443
1444,5642.33349609375,-3588099.75,6142.33349609375,-3588599.75,1444
1445,5642.33349609375,-3588599.75,6142.33349609375,-3589099.75,1445
1453,5642.33349609375,-3592599.75,6142.33349609375,-3593099.75,1453
1454,5642.33349609375,-3593099.75,6142.33349609375,-3593599.75,1454
1479,6142.33349609375,-3556599.75,6642.33349609375,-3557099.75,1479
1480,6142.33349609375,-3557099.75,6642.33349609375,-3557599.75,1480
1487,6142.33349609375,-3560599.75,6642.33349609375,-3561099.75,1487
1490,6142.33349609375,-3562099.75,6642.33349609375,-3562599.75,1490
1491,6142.33349609375,-3562599.75,6642.33349609375,-3563099.75,1491
1494,6142.33349609375,-3564099.75,6642.33349609375,-3564599.75,1494
1499,6142.33349609375,-3566599.75,6642.33349609375,-3567099.75,1499
1502,6142.33349609375,-3568099.75,6642.33349609375,-3568599.75,1502
1503,6142.33349609375,-3568599.75,6642.33349609375,-3569099.75,1503
1505,6142.33349609375,-3569599.75,6642.33349609375,-3570099.75,1505
1508,6142.33349609375,-3571099.75,6642.33349609375,-3571599.75,1508
1510,6142.33349609375,-3572099.75,6642.33349609375,-3572599.75,1510
1512,6142.33349609375,-3573099.75,6642.33349609375,-3573599.75,1512
1515,6142.33349609375,-3574599.75,6642.33349609375,-3575099.75,1515
1519,6142.33349609375,-3576599.75,6642.33349609375,-3577099.75,1519
1520,6142.33349609375,-3577099.75,6642.33349609375,-3577599.75,1520
1522,6142.33349609375,-3578099.75,6642.33349609375,-3578599.75,1522
1525,6142.33349609375,-3579599.75,6642.33349609375,-3580099.75,1525
1527,6142.33349609375,-3580599.75,6642.33349609375,-3581099.75,1527
1530,6142.33349609375,-3582099.75,6642.33349609375,-3582599.75,1530
1535,6142.33349609375,-3584599.75,6642.33349609375,-3585099.75,1535
1537,6142.33349609375,-3585599.75,6642.33349609375,-3586099.75,1537
1542,6142.33349609375,-3588099.75,6642.33349609375,-3588599.75,1542
1547,6142.33349609375,-3590599.75,6642.33349609375,-3591099.75,1547
1548,6142.33349609375,-3591099.75,6642.33349609375,-3591599.75,1548
1553,6142.33349609375,-3593599.75,6642.33349609375,-3594099.75,1553
1579,6642.33349609375,-3557599.75,7142.33349609375,-3558099.75,1579
1580,6642.33349609375,-3558099.75,7142.33349609375,-3558599.75,1580
1581,6642.33349609375,-3558599.75,7142.33349609375,-3559099.75,1581
1582,6642.33349609375,-3559099.75,7142.33349609375,-3559599.75,1582
1585,6642.33349609375,-3560599.75,7142.33349609375,-3561099.75,1585
1587,6642.33349609375,-3561599.75,7142.33349609375,-3562099.75,1587
1589,6642.33349609375,-3562599.75,7142.33349609375,-3563099.75,1589
1591,6642.33349609375,-3563599.75,7142.33349609375,-3564099.75,1591
1595,6642.33349609375,-3565599.75,7142.33349609375,-3566099.75,1595
1600,6642.33349609375,-3568099.75,7142.33349609375,-3568599.75,1600
1601,6642.33349609375,-3568599.75,7142.33349609375,-3569099.75,1601
1602,6642.33349609375,-3569099.75,7142.33349609375,-3569599.75,1602
1604,6642.33349609375,-3570099.75,7142.33349609375,-3570599.75,1604
1606,6642.33349609375,-3571099.75,7142.33349609375,-3571599.75,1606
1608,6642.33349609375,-3572099.75,7142.33349609375,-3572599.75,1608
1614,6642.33349609375,-3575099.75,7142.33349609375,-3575599.75,1614
1615,6642.33349609375,-3575599.75,7142.33349609375,-3576099.75,1615
1616,6642.33349609375,-3576099.75,7142.33349609375,-3576599.75,1616
1620,6642.33349609375,-3578099.75,7142.33349609375,-3578599.75,1620
1622,6642.33349609375,-3579099.75,7142.33349609375,-3579599.75,1622
1623,6642.33349609375,-3579599.75,7142.33349609375,-3580099.75,1623
1624,6642.33349609375,-3580099.75,7142.33349609375,-3580599.75,1624
1627,6642.33349609375,-3581599.75,7142.33349609375,-3582099.75,1627
1630,6642.33349609375,-3583099.75,7142.33349609375,-3583599.75,1630
1631,6642.33349609375,-3583599.75,7142.33349609375,-3584099.75,1631
1635,6642.33349609375,-3585599.75,7142.33349609375,-3586099.75,1635
1636,6642.33349609375,-3586099.75,7142.33349609375,-3586599.75,1636
1637,6642.33349609375,-3586599.75,7142.33349609375,-3587099.75,1637
1638,6642.33349609375,-3587099.75,7142.33349609375,-3587599.75,1638
1641,6642.33349609375,-3588599.75,7142.33349609375,-3589099.75,1641
1642,6642.33349609375,-3589099.75,7142.33349609375,-3589599.75,1642
1644,6642.33349609375,-3590099.75,7142.33349609375,-3590599.75,1644
1645,6642.33349609375,-3590599.75,7142.33349609375,-3591099.75,1645
1653,6642.33349609375,-3594599.75,7142.33349609375,-3595099.75,1653
1654,6642.33349609375,-3595099.75,7142.33349609375,-3595599.75,1654
1656,6642.33349609375,-3596099.75,7142.33349609375,-3596599.75,1656
1678,7142.33349609375,-3558099.75,7642.33349609375,-3558599.75,1678
1679,7142.33349609375,-3558599.75,7642.33349609375,-3559099.75,1679
1682,7142.33349609375,-3560099.75,7642.33349609375,-3560599.75,1682
1685,7142.33349609375,-3561599.75,7642.33349609375,-3562099.75,1685
